Circle,State,800 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2500 Mhz
Kerala,Bharti Airtel Ltd.,0,0,354,0,0
Kerala,Idea Cellular Ltd.,0,0,0,17.567,16.08
Kerala,Vodafone India Ltd.,0,166,0,0,16.08
Kerala,Aircel Ltd.,0,0,0,0,0
Kerala,Reliance Communications Ltd.,0,0,0,0,0
Kolkata,Tata Teleservices Ltd.,0,0,0,0,0
Kolkata,Reliance Jio Infocom Ltd.,0,0,0,33,0
Kolkata,Bharti Airtel Ltd.,0,302.3,0,33,0
Kolkata,Idea Cellular Ltd.,0,0,0,0,0
Kolkata,Vodafone India Ltd.,0,302.3,0,0,33
Kolkata,Aircel Ltd.,0,0,0,0,0
Kolkata,Reliance Communications Ltd.,0,0,0,0,0
MP,Tata Teleservices Ltd.,0,0,0,0,0
MP,Reliance Jio Infocom Ltd.,0,0,0,8.2,0
MP,Bharti Airtel Ltd.,0,0,0,0,0
MP,Idea Cellular Ltd.,0,166,0,8.2,8
MP,Vodafone India Ltd.,0,0,0,0,0
MP,Aircel Ltd.,0,0,0,0,0
MP,Reliance Communications Ltd.,0,0,0,0,0
Maharashtra,Tata Teleservices Ltd.,0,638.6,0,0,0
Maharashtra,Reliance Jio Infocom Ltd.,0,0,0,63.061,0
Maharashtra,Bharti Airtel Ltd.,0,638.6,0,0,0
Maharashtra,Idea Cellular Ltd.,0,638.6,0,63.061,58
Maharashtra,Vodafone India Ltd.,0,0,682,0,58
Maharashtra,Aircel Ltd.,0,0,0,0,0
Maharashtra,Reliance Communications Ltd.,0,0,0,0,0
Mumbai,Tata Teleservices Ltd.,0,978.4,0,0,0
Mumbai,Reliance Jio Infocom Ltd.,0,0,0,146,0
Mumbai,Bharti Airtel Ltd.,0,0,0,146,0
Mumbai,Idea Cellular Ltd.,0,0,922,0,0
Mumbai,Vodafone India Ltd.,0,0,0,0,0
Mumbai,Aircel Ltd.,0,0,0,0,0
Mumbai,Reliance Communications Ltd.,0,0,0,0,0
North East,Tata Teleservices Ltd.,0,0,0,0,0
North East,Reliance Jio Infocom Ltd.,0,0,0,0,0
North East,Bharti Airtel Ltd.,0,22,0,0,0
North East,Idea Cellular Ltd.,0,0,0,0,1
North East,Vodafone India Ltd.,0,22,0,0,1
North East,Aircel Ltd.,0,0,0,0,0
North East,Reliance Communications Ltd.,0,0,0,0,0
Odisha,Tata Teleservices Ltd.,0,0,0,0,0
Odisha,Reliance Jio Infocom Ltd.,0,0,0,4,0
Odisha,Bharti Airtel Ltd.,0,0,0,4,0
Odisha,Idea Cellular Ltd.,0,0,0,0,4
Odisha,Vodafone India Ltd.,0,0,76,0,4
Odisha,Aircel Ltd.,0,0,0,0,0
Odisha,Reliance Communications Ltd.,0,0,0,0,0
Punjab,Tata Teleservices Ltd.,0,0,0,0,0
Punjab,Reliance Jio Infocom Ltd.,273.376,154,0,0,0
Punjab,Bharti Airtel Ltd.,0,154,0,0,0
Punjab,Idea Cellular Ltd.,0,154,0,0,0
Punjab,Vodafone India Ltd.,0,154,182,0,21
Punjab,Aircel Ltd.,0,0,0,0,0
Punjab,Reliance Communications Ltd.,0,0,0,0,0
Rajasthan,Tata Teleservices Ltd.,0,0,0,0,0
Rajasthan,Reliance Jio Infocom Ltd.,463.968,0,0,0,0
Rajasthan,Bharti Airtel Ltd.,0,183.8,280,0,0
Rajasthan,Idea Cellular Ltd.,0,183.8,280,0,0
Rajasthan,Vodafone India Ltd.,0,183.8,280,0,0
Rajasthan,Aircel Ltd.,0,0,0,0,0
Rajasthan,Reliance Communications Ltd.,0,0,0,0,0
Tamil Nadu. Chennai,Tata Teleservices Ltd.,0,0,0,0,0
Tamil Nadu. Chennai,Reliance Jio Infocom Ltd.,0,0,0,132,0
Tamil Nadu. Chennai,Bharti Airtel Ltd.,0,0,0,132,0
Tamil Nadu. Chennai,Idea Cellular Ltd.,0,0,0,0,0
Tamil Nadu. Chennai,Vodafone India Ltd.,0,0,0,0,0
Tamil Nadu. Chennai,Aircel Ltd.,0,0,0,0,0
Tamil Nadu. Chennai,Reliance Communications Ltd.,0,0,0,0,0
UP(E),Tata Teleservices Ltd.,0,0,0,0,0
UP(E),Reliance Jio Infocom Ltd.,438,266.3,0,0,0
UP(E),Bharti Airtel Ltd.,0,0,0,0,0
UP(E),Idea Cellular Ltd.,0,0,220,0,9
UP(E),Vodafone India Ltd.,0,266.3,220,0,9
UP(E),Aircel Ltd.,0,0,0,0,0
UP(E),Reliance Communications Ltd.,0,0,0,0,0
UP(W),Tata Teleservices Ltd.,0,0,0,0,0
UP(W),Reliance Jio Infocom Ltd.,0,200.6,0,0,0
UP(W),Bharti Airtel Ltd.,0,0,0,0,0
UP(W),Idea Cellular Ltd.,0,200.6,0,0,12
UP(W),Vodafone India Ltd.,0,200.6,0,0,12
UP(W),Aircel Ltd.,0,0,0,0,0
UP(W),Reliance Communications Ltd.,0,0,0,0,0
"WB, A&N",Tata Teleservices Ltd.,0,0,0,0,0
"WB, A&N",Reliance Jio Infocom Ltd.,0,92,0,5,0
"WB, A&N",Bharti Airtel Ltd.,0,0,0,5,0
"WB, A&N",Idea Cellular Ltd.,0,92,0,0,5
"WB, A&N",Vodafone India Ltd.,0,92,0,0,5
"WB, A&N",Aircel Ltd.,0,0,0,0,0
"WB, A&N",Reliance Communications Ltd.,0,0,0,0,0
