LSA,Operator,Paired Spectrum,Unpaired Spectrum
Tamil Nadu,Vodafone Essar,12.2,0
Uttar Pradesh E,Aircel,11.2,0
Uttar Pradesh E,Bharti Airtel,12.2,0
Uttar Pradesh E,BSNL/ MTNL,17.5,10
Uttar Pradesh E,Idea Cellular,11.2,0
Uttar Pradesh E,Reliance Comm,9.4,0
Uttar Pradesh E,Reliance Jio,6.69,10
Uttar Pradesh E,Tata DoCoMo,8.15,0
Uttar Pradesh E,Telewings,6.8,0
Uttar Pradesh E,Videocon,5,0
Uttar Pradesh E,Vodafone Essar,25.25,0
Uttar Pradesh E,Tikona,0,10
Uttar Pradesh W,Aircel,4.4,0
Uttar Pradesh W,Bharti Airtel,11.2,0
Uttar Pradesh W,BSNL/ MTNL,17.5,10
Uttar Pradesh W,Idea Cellular,20.2,0
Uttar Pradesh W,Reliance Comm,10.63,0
Uttar Pradesh W,Reliance Jio,0,10
Uttar Pradesh W,Sistema Shyam,3.75,0
Uttar Pradesh W,Tata DoCoMo,13.15,0
Uttar Pradesh W,Telewings,7,0
Uttar Pradesh W,Videocon,5,0
Uttar Pradesh W,Vodafone Essar,13.7,0
Uttar Pradesh W,Tikona,0,10
West Bengal,Aircel,10.6,10
West Bengal,Bharti Airtel,17.8,0
West Bengal,BSNL/ MTNL,15.5,10
West Bengal,Idea Cellular,5,0
West Bengal,Reliance Comm,16.18,0
West Bengal,Reliance Jio,5.6,10
West Bengal,Sistema Shyam,3.75,0
West Bengal,Tata DoCoMo,6.9,0
West Bengal,Vodafone Essar,15.9,0
